query,query_lang,claim_text,claimant,claim_date,claim_date_parsed,claim_year,claim_month,publisher_name,publisher_domain,review_title,review_url,review_date,rating,rating_clean,language,language_name,claim_char_len,claim_word_len,detected_script,has_claimant,data_source
NEET,curated,"ભાજપ સાંસદ કંગનાએ કહ્યું કે હિન્દુઓ ખતરામાં છે, આપણે NEET પેપર લીક કેસને બદલે તેમના પર ધ્યાન કેન્દ્રિત કરવું જોઈએ.",FB User Rizwan Hatimm,2026-06-04T11:12:24Z,2026-06-04 11:12:24+00:00,2026.0,6.0,,vishvasnews.com,Fact Check: NEET પેપર લીક કેસમાં કાર્યવાહી અટકાવવા અને હિન્દુઓ પર ધ્યાન કેન્દ્રિત કરવા અંગે કંગના રનૌતનું નિવેદન ખોટું છે,https://www.vishvasnews.com/gujarati/entertainment/fact-check-kangana-ranauts-statement-about-stalling-action-and-focusing-on-hindus-in-neet-paper-leak-case-is-false/,2026-06-04T11:12:24Z,False,false,gu,Gujarati,114,20,gujarati,True,google_factcheck_api
UPSC,curated,લોકસભાના સ્પીકર ઓમ બિરલાની પુત્રી અંજલિએ UPSC પરીક્ષા વગર પરીક્ષા પાસ કરી,ફેસબુક યૂઝર અભિષેક સિંહ કુશવાહ,2023-04-17T09:20:05Z,2023-04-17 09:20:05+00:00,2023.0,4.0,,vishvasnews.com,Fact Check : ઓમ બિરલાની પુત્રી અંજલીને લઈને ફરીથી વાયરલ થઈ નકલી પોસ્ટ - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-om-birla-daughter-post-about-ias-going-viral-with-fake-claim/,2023-04-17T09:20:05Z,False,false,gu,Gujarati,73,12,gujarati,True,google_factcheck_api
नौकरी,curated,"રાજસ્થાનના બીજેપી જાલોર લોકસભા વિસ્તારના સાંસદ દેવજી પટેલ છે. જુઓ હવે મોંઘવારી,બેરોજગારી, સરકારી નોકરી મળે ના મળે. મોંઘવારી ચરમસીમા પર છે, બેરોજગારી વધી રહી છે, ભાજપા કહી રહી છે. સહુનો સાથ સહુનો વિકાસ પરંતુ, હવે આને શું કહેવું",અખિલેશ યાદવ કે દિવાને,2022-09-04T08:34:39Z,2022-09-04 08:34:39+00:00,2022.0,9.0,,vishvasnews.com,Fact Check : ભાજપ સાંસદની છબી ખરાબ કરવા પાકિસ્તાનના વીડિયોનો ઉપયોગ કરવામાં આવતા ચકચાર - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-video-of-pakistan-viral-with-fake-claim-as-bjp-rajasthan-mp/,2022-09-04T08:34:39Z,False,false,gu,Gujarati,226,38,gujarati,True,google_factcheck_api
नौकरी,curated,રતન ટાટાએ જેએનયૂના વિદ્યાર્થીઓને નોકરી ન આપવાનો નિર્ણય લીધો.,ફેસબુક યૂઝરૃ અર્જુન ગુર્જર,2022-09-23T12:15:48Z,2022-09-23 12:15:48+00:00,2022.0,9.0,,vishvasnews.com,fact check fake statement of ratan tata about jnu is gettting viral- ફેક્ટ ચેક: શું રતન ટાટાએ જેએનયૂના વિદ્યાર્થીઓને નોકરી આપવાની ના પાડી? જાણો વાયરલ પોસ્ટનું સત્ય,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-statement-of-ratan-tata-about-jnu-is-gettting-viral/,2022-09-23T12:15:48Z,Half true,unknown,gu,Gujarati,60,9,gujarati,True,google_factcheck_api
RBI,curated,"Old notes of Rs 100, 10 and 5 may go out of circulation after March: RBI",Khidmati Safar,2021-02-27T07:52:25Z,2021-02-27 07:52:25+00:00,2021.0,2.0,,vishvasnews.com,"Fact Check: આરબીઆઈ 100 રૂપિયા, 10 રૂપિયા અને 5 રૂપિયાની જૂની નોટો પાછા લઈ રહ્યા નથી, વાયરલ પોસ્ટ નકલી છે - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-no-rbi-is-not-going-to-stop-the-circulation-of-rs-100-rs-10-and-rs-5-notes/,2021-02-27T07:52:25Z,False,false,gu,Gujarati,72,16,latin,True,google_factcheck_api
PhonePe,curated,તમે જીત્યા 999 INR... Phonepe સ્ક્રેચ કૂપન...અભિનંદન,ફેસબુક યુઝર- Pannorra,2024-07-17T05:50:52Z,2024-07-17 05:50:52+00:00,2024.0,7.0,,vishvasnews.com,Fact Check: PhonePe અને Jioના નામે કેશબેક જીતવાનો દાવો કરતી વાયરલ લિંક ફેક-Fake viral link claiming to win cashback in the name of PhonePe and Jio,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-viral-link-claiming-to-win-cashback-in-the-name-of-phonepe-and-jio/,2024-07-17T05:50:52Z,False,false,gu,Gujarati,52,7,gujarati,True,google_factcheck_api
WhatsApp,curated,ઓલ ઈન્ડિયા સિમ કાર્ડ whatsapp imo લકી ડ્રો,Facebook User,2021-12-14T00:00:00Z,2021-12-14 00:00:00+00:00,2021.0,12.0,,vishvasnews.com,"Fact Check : 'કૌન બનેગા કરોડપતિ'ના નામે ફેક મેસેજ વાયરલ થઈ રહ્યો છે, સાવચેત રહો - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-%E0%AA%95%E0%AB%8C%E0%AA%A8-%E0%AA%AC%E0%AA%A8%E0%AB%87%E0%AA%97%E0%AA%BE-%E0%AA%95%E0%AA%B0%E0%AB%8B%E0%AA%A1%E0%AA%AA%E0%AA%A4%E0%AA%BF%E0%AA%A8%E0%AA%BE-%E0%AA%A8%E0%AA%BE%E0%AA%AE/,2021-12-14T00:00:00Z,False,false,gu,Gujarati,42,8,gujarati,True,google_factcheck_api
Facebook,curated,ફેસબુક યુઝર મનીષ પટેલ,"લેટર અનુસાર, ભાજપે શિવરાજસિંહને બનાવ્યા મુખ્યમંત્રી",2023-12-13T06:44:59Z,2023-12-13 06:44:59+00:00,2023.0,12.0,,vishvasnews.com,Fact Check: મધ્યપ્રદેશના મુખ્યમંત્રીના નામે ફેક લેટર વાયરલ-Fact Check: Fake letter in the name of Madhya Pradesh Chief Minister goes viral,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-letter-in-the-name-of-madhya-pradesh-chief-minister-goes-viral/,2023-12-13T06:44:59Z,False,false,gu,Gujarati,21,4,gujarati,True,google_factcheck_api
Facebook,curated,ફેસબુક યુઝર Johar Uddin,Jio ફ્રીમાં 999 રૂપિયા આપી રહ્યું છે,2022-12-30T07:05:37Z,2022-12-30 07:05:37+00:00,2022.0,12.0,,vishvasnews.com,"ફેક્ટ ચેક : Jio નથી આપી રહ્યું ફ્રીમાં કોઈ પૈસા, આવા મેસેજ પર વિશ્વાસ ન કરો - Vishvas News",https://www.vishvasnews.com/gujarati/society/fact-check-jio-is-not-giving-free-scheme-post-is-fake/,2022-12-30T07:05:37Z,False,false,gu,Gujarati,23,4,gujarati,True,google_factcheck_api
Facebook,curated,"ફેસબુક યુઝર રાવ પંકજે કેપ્શન સાથે વાયરલ તસવીર શેર કરી, ""માઈનસ 10 ડિગ્રી સેન્ટિગ્રેડમાં, કેદારનાથ યાત્રા બંધ થયા પછી પણ કેદારનાથ ધામના દરબારમાં એક સાધુ મહારાજ તપસ્યા કરી રહ્યા છે.. #હરહરમહાદેવ ..સત્ય સનાતન ધર્મ કી જય.",Rao Pankaj,2022-11-18T10:18:26Z,2022-11-18 10:18:26+00:00,2022.0,11.0,,vishvasnews.com,"ફેક્ટ ચેકઃ આ તસવીર કેદારનાથમાં તપસ્યા કરી રહેલા સાધુની નથી, વાયરલ દાવો ખોટો છે - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-viral-photo-saint-doing-penance-is-not-from-kedarnath-claim-is-fake/,2022-11-18T10:18:26Z,False,false,gu,Gujarati,216,36,gujarati,True,google_factcheck_api
Facebook,curated,ફેસબુક પેજ એક ભારત શ્રેષ્ઠ ભારત,ફેસબુક પેજ એક ભારત શ્રેષ્ઠ ભારત,2023-02-13T04:52:47Z,2023-02-13 04:52:47+00:00,2023.0,2.0,,vishvasnews.com,"Fact Check: છત્તીસગઢના માં ચંડી દેવી મંદિરમાં સેંકડો વર્ષોથી ચઢાવવામાં આવી રહી છે ચાદર, ખોટો છે વાયરલ પોસ્ટનો દાવો - Vishvas News",https://www.vishvasnews.com/gujarati/society/fact-check-post-claiming-about-maa-chandi-mandir-is-misleading/,2023-02-13T04:52:47Z,Half true,unknown,gu,Gujarati,31,6,gujarati,True,google_factcheck_api
ડીપફેક,curated,આજતક ચેનલના એન્કર ચિત્રા ત્રિપાઠી કેન્દ્ર સરકારની ટીકા કરી રહ્યા છે.,ફેસબુક યૂઝર અખિલેશ યાદવ મિશન 2027 (INDIA),2024-03-11T12:30:49Z,2024-03-11 12:30:49+00:00,2024.0,3.0,,vishvasnews.com,Fact Check: ન્યૂઝ એન્કર ચિત્રા ત્રિપાઠીનો ડીપફેક વીડિયો થયો વાયરલ ...,https://www.vishvasnews.com/gujarati/viral/fact-check-deepfake-video-of-news-anchor-chitra-tripathi-has-gone-viral/,2024-03-11T12:30:49Z,False,false,gu,Gujarati,68,11,gujarati,True,google_factcheck_api
ડીપફેક,curated,વિરાટ કોહલીએ કર્યું ગેમિંગ એપનું પ્રમોશન,ફેસબુક યુઝર- U68 0412B,2024-05-22T06:56:21Z,2024-05-22 06:56:21+00:00,2024.0,5.0,,vishvasnews.com,Fact Check: વિરાટ કોહલીએ નથી કર્યું આ ગેમિંગ એપનું પ્રમોશન ...,https://www.vishvasnews.com/gujarati/viral/fact-check-virat-kohli-did-not-promote-this-gaming-app-the-audio-has-been-replaced-with-deepfake-technology/,2024-05-22T06:56:21Z,False,false,gu,Gujarati,40,6,gujarati,True,google_factcheck_api
राम,curated,આ વીડિયો અયોધ્યાના રામ મંદિરમાં એક પુજારી દાનની 'ચોરી' કરતો હોય તેવો છે.,Insta User- iindian_affairs,2026-06-24T10:46:31Z,2026-06-24 10:46:31+00:00,2026.0,6.0,,vishvasnews.com,"Fact Check: મંદિરના દાનમાંથી પૈસા 'ચોરી' કરવાનો આ વીડિયો બેંગલુરુનો છે, અયોધ્યાના રામ મંદિરનો નહીં",https://www.vishvasnews.com/gujarati/viral/fact-check-this-video-of-stealing-money-from-temple-donations-is-from-bengaluru-not-ayodhyas-ram-temple/,2026-06-24T10:46:31Z,False,false,gu,Gujarati,72,13,gujarati,True,google_factcheck_api
राम,curated,મુસ્લિમ ન્યૂઝ એન્કરે અયોધ્યાના રામ મંદિરમાં રામલલાની મૂર્તિ વિશે રિપોર્ટિંગ કરતી વખતે પોતાના બૂટ ઉતારી દીધા,ફેસબુક યુઝર કુમાર ધનજંય વત્સ,2024-02-15T07:46:33Z,2024-02-15 07:46:33+00:00,2024.0,2.0,,vishvasnews.com,Fact Check: રામલલાના સમાચારને ઉઘાડા પગે વાંચનાર એન્કર એચ. આર રંગનાથ મુસ્લિમ નહીં હિન્દુ છે-Fact Check: Anchor H who read the news of Ramlala barefoot. R Ranganath is a Hindu not a Muslim,https://www.vishvasnews.com/gujarati/viral/fact-check-anchor-h-who-read-the-news-of-ramlala-barefoot-r-ranganath-is-a-hindu-not-a-muslim/,2024-02-15T07:46:33Z,Half true,unknown,gu,Gujarati,107,16,gujarati,True,google_factcheck_api
राम,curated,સાંવરિયા શેઠ મંદિર માંડફિયા ટ્રસ્ટે રામ મંદિરના નિર્માણ માટે રૂ. 50 કરોડ આપ્યા છે.,FB USER Mukesh Gurjar Mukesj,2024-01-19T06:54:55Z,2024-01-19 06:54:55+00:00,2024.0,1.0,,vishvasnews.com,"ફેક્ટ ચેક : સાંવરિયા સેઠ મંદિર મંડફિયા ટ્રસ્ટે રામ મંદિરના નિર્માણ માટે 50 કરોડ રૂપિયાનું દાન નથી આપ્યું, વાયરલ દાવો ખોટો-Fact Check: Sawariya Seth Mandir Mandafia Trust did not donate Rs 50 crore for construction of Ram Mandir, viral claim false",https://www.vishvasnews.com/gujarati/viral/fact-check-sawariya-seth-mandir-mandafia-trust-did-not-donate-rs-50-crore-for-construction-of-ram-mandir-viral-claim-false/,2024-01-19T06:54:55Z,False,false,gu,Gujarati,82,14,gujarati,True,google_factcheck_api
राम,curated,"આ રામ મંદિરનો વીડિયો છે, જેની જાન્યુઆરીમાં પ્રાણ-પ્રતિષ્ઠા થવાની છે.",FB User: Pradip Acharjee Nirob (টিকলু),2023-12-28T05:56:59Z,2023-12-28 05:56:59+00:00,2023.0,12.0,,vishvasnews.com,Fact Check: હૈદરાબાદના રામોજી ફિલ્મ સ્ટૂડિયોના વીડિયોને રામ મંદિરનો જણાવીને કરાઈ રહ્યો છે વાયરલ-Fact Check: The video of Hyderabad's Ramoji Film Studio is being made viral by referring to Ram Mandir.,https://www.vishvasnews.com/gujarati/viral/fact-check-the-video-of-hyderabads-ramoji-film-studio-is-being-made-viral-by-referring-to-ram-mandir/,2023-12-28T05:56:59Z,False,false,gu,Gujarati,68,10,gujarati,True,google_factcheck_api
राम,curated,"USAએ નવી કાર લૉન્ચ કરી છે, જેની બ્રાન્ડનું નામ ભગવાન રામ છે.",ફેસબુક યુઝર,2023-08-24T10:46:05Z,2023-08-24 10:46:05+00:00,2023.0,8.0,,vishvasnews.com,Fact Check: શું અમેરિકી કંપનીએ ભગવાન રામના નામ પર લૉન્ચ કરી કાર? જાણો વાયરલ દાવાનું સત્ય,https://www.vishvasnews.com/gujarati/world/fact-check-post-claiming-american-company-named-car-after-name-ram-lord-is-fake/,2023-08-24T10:46:05Z,False,false,gu,Gujarati,60,12,gujarati,True,google_factcheck_api
राम,curated,રામ મંદિરનું ઉદ્ઘાટન 1 જાન્યુઆરી 2023ના રોજ થશે,FB user Rajesh Sharma,2022-11-27T10:55:58Z,2022-11-27 10:55:58+00:00,2022.0,11.0,,vishvasnews.com,"ફેક્ટ ચેકઃ 1 જાન્યુઆરી 2023ના રોજ રામ મંદિરનું ઉદ્ઘાટન નહીં થાય, વાયરલ દાવો ખોટો - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-ram-temple-will-not-be-inaugurated-on-first-january-2023/,2022-11-27T10:55:58Z,False,false,gu,Gujarati,47,8,gujarati,True,google_factcheck_api
રામ,curated,મહાકુંભમાં પહોંચેલી પ્રિયંકા ચોપરાની તસવીર,Radha Yadav,2025-02-04T07:44:20Z,2025-02-04 07:44:20+00:00,2025.0,2.0,,vishvasnews.com,"Fact Check: પ્રિયંકા ચોપરાની વાયરલ તસવીર મહાકુંભની નહીં, રામ મંદિર ...",https://www.vishvasnews.com/gujarati/entertainment/fact-check-priyanka-chopras-viral-picture-is-not-of-mahakumbh-but-of-ram-mandir-darshan/,2025-02-04T07:44:20Z,Half true,unknown,gu,Gujarati,42,5,gujarati,True,google_factcheck_api
રામ,curated,રામ મંદિરના 14 કિલોમીટરના દાયરામાં ઉઘાડા પગે રહેશે આ સમાજના લોકો,ફેસબુક યુઝર રંજીત કુમાર યાદવ,2024-02-07T07:06:21Z,2024-02-07 07:06:21+00:00,2024.0,2.0,,vishvasnews.com,Fact Check: રામ મંદિરના નામે CM યોગીને લઈને ફેક પોસ્ટ વાયરલ-Fact ...,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-post-viral-about-cm-yogi-in-the-name-of-ram-temple/,2024-02-07T07:06:21Z,False,false,gu,Gujarati,64,11,gujarati,True,google_factcheck_api
કૃષ્ણ,curated,શિવરાજ સિંહ ચૂંટણી બાદ પહોંચ્યા બાગેશ્વર ધામ સરકારને મળવા,ઈન્સ્ટાગ્રામ યુઝર અર્જુન રાજપૂત,2023-12-07T06:10:44Z,2023-12-07 06:10:44+00:00,2023.0,12.0,,vishvasnews.com,Fact Check: શિવરાજ સિંહ ચૌહાણ અને ધીરેન્દ્ર કૃષ્ણ શાસ્ત્રીની ...,https://www.vishvasnews.com/gujarati/politics/fact-check-7-months-old-video-of-shivraj-singh-chauhan-and-dhirendra-krishna-shastris-meeting-now-viral/,2023-12-07T06:10:44Z,Half true,unknown,gu,Gujarati,57,9,gujarati,True,google_factcheck_api
Pakistan,curated,પાકિસ્તાનના મંત્રી બિલાવલ ભુટ્ટો 'બેશરમ રંગ' ગીત પર ડાન્સ કરી રહ્યા છે.,ફેસબુક યૂઝર મનોજ કુમાર,2023-05-16T05:33:19Z,2023-05-16 05:33:19+00:00,2023.0,5.0,,vishvasnews.com,"ફેક્ટ ચેકઃ SCO સમિટમાં બિલાવલ ભુટ્ટોના ડાન્સના નામે પાકિસ્તાની વિદ્યાર્થીનો વાયરલ વીડિયો, નકલી દાવા સાથે વીડિયો ફરી વાયરલ - Vishvas News",https://www.vishvasnews.com/gujarati/politics/fact-check-man-dancing-in-video-is-not-bilawal-bhutto-post-claim-is-fake/,2023-05-16T05:33:19Z,False,false,gu,Gujarati,71,12,gujarati,True,google_factcheck_api
Pakistan,curated,ભારત સામે હાર્યા પછી પાકિસ્તાનમાં ટીવી ફોડી નાખવાના અહેવાલો છે,કેશવ કુમારે,2022-09-04T08:00:29Z,2022-09-04 08:00:29+00:00,2022.0,9.0,,vishvasnews.com,Fact Check: ટીવી તોડવાનો દાવો કરતા પાકિસ્તાની ક્રિકેટ ચાહકોની વાયરલ તસવીર અમદાવાદની છે - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-old-picture-of-fans-breaking-tv-viral-after-the-recent-india-pakistan-match/,2022-09-04T08:00:29Z,Half true,unknown,gu,Gujarati,62,10,gujarati,True,google_factcheck_api
Shah Rukh Khan,curated,શાહરૂખ ખાન સાથે ફિલ્મ પઠાણ જોઈ રહેલા અંબાણી પરિવારના સભ્યો.,FB User- Qureshi Arman,2023-01-28T11:55:31Z,2023-01-28 11:55:31+00:00,2023.0,1.0,,vishvasnews.com,Fact Check: શાહરૂખ ખાનની સાથે અંબાણી પરિવારની તસવીરને પઠાણ ફિલ્મ સાથે નથી કોઈ સંબંધ - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-shahrukh-khans-selfie-with-ambani-family-is-not-related-to-film-pathan/,2023-01-28T11:55:31Z,False,false,gu,Gujarati,59,10,gujarati,True,google_factcheck_api
Salman Khan,curated,સલમાન ખાન અને સની દેઓલ બેગેશ્વર ધામ ગયા.,ફેસબુક યૂઝર બાગેશ્વરધામ સરકાર,2023-05-23T07:50:52Z,2023-05-23 07:50:52+00:00,2023.0,5.0,,vishvasnews.com,"Fact Check: સલમાન અને સની દેઓલ ક્યારેય નથી ગયા બાગેશ્વર ધામ, જૂના વીડિયોને ખોટા દાવા સાથે કરાયા વાયરલ - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-sunny-deol-salman-never-visited-bageshwar-dham-old-videos-going-viral-with-fake-claim/,2023-05-23T07:50:52Z,False,false,gu,Gujarati,40,8,gujarati,True,google_factcheck_api
Virat Kohli,curated,એલ્વિશ યાદવે બિગ બોસ જીત્યા બાદ વિરાટ કોહલી સાથે કરી મુલાકાત.,ફેસબુક યુઝર -Bablu Babu Yadav,2023-09-13T05:12:52Z,2023-09-13 05:12:52+00:00,2023.0,9.0,,vishvasnews.com,Fact Check: વિરાટ કોહલીની સાથે એલ્વિશ યાદવની વાયરલ તસવીર છે એડિટેડ-Fact Check: viral photo of Elvis Yadav's and Virat Kohli is edited,https://www.vishvasnews.com/gujarati/viral/fact-check-viral-photo-of-elvis-yadavs-and-virat-kohli-is-edited/,2023-09-13T05:12:52Z,False,false,gu,Gujarati,61,11,gujarati,True,google_factcheck_api
,,690થી શરૂ થતા બારકોડ સ્ટીકર્સ મેડ ઈન ચાઈનીઝ પ્રોડક્ટ છે અને 890થી શરૂ થતા બારકોડ સ્ટીકર્સ મેડ ઈન ઇન્ડિયા પ્રોડક્ટ છે.,twitter user,2020-05-14T00:00:00Z,2020-05-14 00:00:00+00:00,2020.0,5.0,gujarati.newschecker.in,gujarati.newschecker.in,,https://gujarati.newschecker.in/fact-checks/does-an-890-prefix-in-a-bar-code-indicate-that-the-product-is-made-in-india/,2020-06-22T00:00:00Z,partly true/misleading,misleading,gu,Gujarati,117,21,gujarati,True,xfact_2021
,,"ભાજપના 4 MP, 1 MLA અને 21 અન્ય નેતાઓ TMCમાં જોડાવા જઈ રહ્યા છે.",twitter user,2020-08-04T00:00:00Z,2020-08-04 00:00:00+00:00,2020.0,8.0,gujarati.newschecker.in,gujarati.newschecker.in,,https://gujarati.newschecker.in/fact-checks/kailash-vijayvargiya-dismisses-rumours-about-bjp-mps-joining-tmc/,2020-08-06T00:00:00Z,false,false,gu,Gujarati,63,14,gujarati,True,xfact_2021
,,"गुजरात मॉडल में रेल की पटरी पर पैदल चलने वाले मजदूरों से हफ्ता वसूल हो रही है, ये कैसा गुजरात मॉडल, #गुजरातरेलवेपुलिस #गुजरात_मॉडल",twitter user,2020-05-10T00:00:00Z,2020-05-10 00:00:00+00:00,2020.0,5.0,gujarati.newschecker.in,gujarati.newschecker.in,,,2020-05-12T00:00:00Z,partly true/misleading,misleading,gu,Gujarati,130,23,devanagari,True,xfact_2021
,,કોરોના વાઈરસ ને કારણે IPL-2020 બંધ રહેશે,facebook user,2020-03-12T00:00:00Z,2020-03-12 00:00:00+00:00,2020.0,3.0,gujarati.newschecker.in,gujarati.newschecker.in,,,2020-03-14T00:00:00Z,partly true/misleading,misleading,gu,Gujarati,40,7,gujarati,True,xfact_2021
,,ભારતીય સેનાએ ગલવાન નદી પરનો પુલ બનાવી લીધો જેને ચીન રોકવા માંગતું હતું,facebook user,2020-07-20T00:00:00Z,2020-07-20 00:00:00+00:00,2020.0,7.0,gujarati.newschecker.in,gujarati.newschecker.in,,https://gujarati.factcrescendo.com/no-this-is-not-the-image-of-recently-bridge-built-on-galwan-river-by-indian-military/,2020-07-01T00:00:00Z,partly true/misleading,misleading,gu,Gujarati,70,13,gujarati,True,xfact_2021
